index,created_date,Price,below_price,Area,Adress,Bedrooms,Bathrooms,Parking_Spaces,Latitude,Longitude,Ano,Bairro,Cidade
1442,2018-04-12,883000.0,False,163.0,"Rua Pereira da Nóbrega 189, Vila Monumento - São Paulo/SP",4.0,3.0,1.0,-23.5758497,-46.6146115,2018.0,Vila Monumento,São Paulo
1443,2018-03-27,848000.0,True,92.0,"Rua Doutor Eduardo de Souza Aranha , Vila Nova Conceição - São Paulo/SP",4.0,3.0,1.0,,,2018.0,Vila Nova Conceição,São Paulo
1444,2023-05-03,1439000.0,False,136.0,"Rua Cardoso de Almeida , Perdizes - São Paulo/SP",4.0,3.0,1.0,-23.5361104,-46.6669409,2023.0,Perdizes,São Paulo
1445,2018-03-27,1500000.0,True,161.0,"Rua Manuel da Nóbrega , Paraíso - São Paulo/SP",4.0,3.0,1.0,-23.5704126,-46.6502881,2018.0,Paraíso,São Paulo
1446,2018-03-27,1550000.0,False,230.0,"Alameda Barros 383, Santa Cecília - São Paulo/SP",4.0,3.0,1.0,-23.536349,-46.6566334,2018.0,Santa Cecília,São Paulo
1447,2018-03-27,1200000.0,False,118.0,"Alameda dos Guaiós 247, Planalto Paulista - São Paulo/SP",4.0,3.0,2.0,,,2018.0,Planalto Paulista,São Paulo
1448,2020-12-16,1595970.0,False,180.0,"Rua Alexandre Dumas 1060, Chácara Santo Antônio (Zona Sul) - São Paulo/SP",4.0,3.0,2.0,,,2020.0,Chácara Santo Antônio (Zona Sul),São Paulo
1449,2018-03-28,2000000.0,False,165.0,"Rua Indiana 102, Brooklin Paulista - São Paulo/SP",4.0,3.0,2.0,,,2018.0,Brooklin Paulista,São Paulo
1450,2018-10-06,2200000.0,False,210.0,Santa Cecília - São Paulo/SP,4.0,3.0,2.0,-23.5296595,-46.65189388826502,2018.0,Santa Cecília,São Paulo
1451,2018-03-30,2000000.0,False,130.0,Perdizes - São Paulo/SP,4.0,3.0,2.0,-23.53796505,-46.67124372854936,2018.0,Perdizes,São Paulo
1452,2018-03-27,850000.0,False,133.0,"Rua dos Democratas , Vila Monte Alegre - São Paulo/SP",4.0,3.0,2.0,-23.6289794,-46.6366323,2018.0,Vila Monte Alegre,São Paulo
1453,2018-03-27,1740000.0,False,113.0,"Avenida Itaboraí 109, Bosque da Saúde - São Paulo/SP",4.0,3.0,2.0,-23.6089,-46.6265542,2018.0,Bosque da Saúde,São Paulo
1454,2018-03-30,3500000.0,False,225.0,Jardim Paulista - São Paulo/SP,4.0,3.0,2.0,-23.57374485,-48.02442576609145,2018.0,Jardim Paulista,São Paulo
1455,2018-03-27,1650000.0,False,138.0,"Travessa Caraíbas 326, Perdizes - São Paulo/SP",4.0,3.0,2.0,-23.5289054,-46.6798199,2018.0,Perdizes,São Paulo
1456,2018-03-27,7730000.0,False,232.0,"Rua Afonso Braz , Vila Nova Conceição - São Paulo/SP",4.0,3.0,3.0,,,2018.0,Vila Nova Conceição,São Paulo
1457,2018-10-06,2300000.0,False,412.0,"Rua Barão de Santa Eulália 1, Real Parque - São Paulo/SP",4.0,3.0,3.0,,,2018.0,Real Parque,São Paulo
1458,2018-03-27,2799980.0,False,200.0,"Rua Gil Eanes , Campo Belo - São Paulo/SP",4.0,3.0,3.0,-23.6148717,-46.6774026,2018.0,Campo Belo,São Paulo
1459,2018-08-08,1700000.0,False,168.0,"Avenida Francisco Matarazzo 1861, Água Branca - São Paulo/SP",4.0,3.0,3.0,,,2018.0,Água Branca,São Paulo
1460,2018-06-06,1495000.0,False,136.0,"Rua Caraíbas , Perdizes - São Paulo/SP",4.0,3.0,3.0,-23.5293977,-46.6802561,2018.0,Perdizes,São Paulo
1461,2018-03-27,1300000.0,False,114.0,"Rua Pedro Pomponazzi , Jardim Vila Mariana - São Paulo/SP",4.0,3.0,3.0,-23.5903482,-46.6276639,2018.0,Jardim Vila Mariana,São Paulo
1462,2018-03-27,2000000.0,True,135.0,"Rua Eleonora Cintra 764, Jardim Anália Franco - São Paulo/SP",4.0,3.0,3.0,-23.5580421,-46.55866976545877,2018.0,Jardim Anália Franco,São Paulo
1463,2019-05-06,1850000.0,False,108.0,"Rua Dom Pero Sardinha 110, Vila Gumercindo - São Paulo/SP",4.0,3.0,3.0,-23.6060783,-46.6239175,2019.0,Vila Gumercindo,São Paulo
1464,2018-03-28,0.0,False,274.0,"Rua Maratona 161, Vila Alexandria - São Paulo/SP",4.0,3.0,3.0,-23.6434104,-46.6715443,2018.0,Vila Alexandria,São Paulo
1465,2018-03-27,2489990.0,False,220.0,"Rua Nebraska 929, Brooklin Novo - São Paulo/SP",4.0,3.0,4.0,-23.609714,-46.6823201,2018.0,Brooklin Novo,São Paulo
1466,2018-03-27,2290000.0,False,400.0,"Rua Caçapava , Jardim Paulista - São Paulo/SP",4.0,3.0,4.0,-23.5683746,-46.6622159,2018.0,Jardim Paulista,São Paulo
1467,2018-03-27,21000000.0,False,190.0,"Rua Francisca Júlia 365, Santana - São Paulo/SP",4.0,3.0,4.0,-23.493227,-46.6290801,2018.0,Santana,São Paulo
1468,2018-03-27,3100000.0,False,171.0,"Rua Fábio Lopes dos Santos Luz 236, Vila Andrade - São Paulo/SP",4.0,3.0,4.0,-23.632154,-46.7302215,2018.0,Vila Andrade,São Paulo
1469,2018-03-27,4250000.0,False,184.0,"Alameda Iraé , Indianópolis - São Paulo/SP",4.0,3.0,4.0,-23.6039122,-46.6609194,2018.0,Indianópolis,São Paulo
1470,2018-03-27,4590000.0,False,281.0,"Rua Peixoto Gomide , Jardim Paulista - São Paulo/SP",4.0,3.0,4.0,-23.5651589,-46.6614571,2018.0,Jardim Paulista,São Paulo
1471,2018-09-03,670000.0,True,220.0,Água Fria - São Paulo/SP,4.0,3.0,4.0,-23.4817879,-46.62499,2018.0,Água Fria,São Paulo
1472,2023-12-15,1600000.0,False,278.0,"Rua Júpiter 260, Aclimação - São Paulo/SP",4.0,3.0,4.0,-23.5730063,-46.635345,2023.0,Aclimação,São Paulo
1473,2018-03-27,2420000.0,True,241.0,"Rua Doutor Laerte Setúbal , Vila Suzana - São Paulo/SP",4.0,3.0,4.0,,,2018.0,Vila Suzana,São Paulo
1474,2019-09-02,3199990.0,False,220.0,"Avenida Paulista 23, Bela Vista - São Paulo/SP",4.0,4.0,1.0,-23.5660909,-46.6507843,2019.0,Bela Vista,São Paulo
1475,2018-03-27,1590000.0,False,142.0,"Rua Doutor Albuquerque Lins 992, Santa Cecília - São Paulo/SP",4.0,4.0,1.0,-23.53854755,-46.65790203623189,2018.0,Santa Cecília,São Paulo
1476,2024-10-17,1900000.0,False,175.0,"Rua Henrique Monteiro , Pinheiros - São Paulo/SP",4.0,4.0,1.0,-23.5694081,-46.6897615,2024.0,Pinheiros,São Paulo
1477,2018-03-27,1850000.0,False,240.0,"Rua General Jardim 840, Vila Buarque - São Paulo/SP",4.0,4.0,1.0,-23.5447191,-46.6465326,2018.0,Vila Buarque,São Paulo
1478,2018-03-30,1617000.0,False,160.0,"Avenida Washington Luís , Santo Amaro - São Paulo/SP",4.0,4.0,1.0,-23.660226,-46.7027718,2018.0,Santo Amaro,São Paulo
1479,2018-03-27,1100000.0,True,170.0,"Avenida Paes de Barros 701, Mooca - São Paulo/SP",4.0,4.0,1.0,-23.5612328,-46.59848144159752,2018.0,Mooca,São Paulo
1480,2018-03-27,1690000.0,True,170.0,"Rua Sergipe , Consolação - São Paulo/SP",4.0,5.0,1.0,-23.5492942,-46.6554043,2018.0,Consolação,São Paulo
1481,2024-07-01,2240000.0,False,297.0,"Rua Doutor Guilherme Cristofel 506, Santana - São Paulo/SP",4.0,6.0,1.0,-23.4882237,-46.6288743,2024.0,Santana,São Paulo
1482,2018-03-27,1484000.0,False,123.0,"Rua Biobedas 88, Parque Imperial - São Paulo/SP",4.0,4.0,2.0,-23.6224855,-46.6382617,2018.0,Parque Imperial,São Paulo
1483,2018-07-29,3850000.0,False,325.0,"Rua Piauí , Higienópolis - São Paulo/SP",4.0,5.0,2.0,-23.5448762,-46.6587654,2018.0,Higienópolis,São Paulo
1484,2018-03-27,1330732.0,False,136.0,"Rua Bento Branco de Andrade Filho 477, Jardim Dom Bosco - São Paulo/SP",4.0,4.0,2.0,,,2018.0,Jardim Dom Bosco,São Paulo
1485,2018-03-28,2690000.0,False,147.0,"Rua Borges Lagoa , Vila Clementino - São Paulo/SP",4.0,4.0,2.0,-23.5972591,-46.6391982,2018.0,Vila Clementino,São Paulo
1486,2020-03-27,2291328.0,False,160.0,"Rua Gama Lobo 1919, Vila Dom Pedro I - São Paulo/SP",4.0,4.0,2.0,-23.5982248,-46.6120136,2020.0,Vila Dom Pedro I,São Paulo
1487,2018-03-28,4800000.0,False,290.0,"Rua Bela Cintra 2262, Consolação - São Paulo/SP",4.0,4.0,2.0,-23.5526509,-46.6557672,2018.0,Consolação,São Paulo
1488,2019-04-03,2524800.0,False,160.0,"Rua Marc Chagall 339, Água Branca - São Paulo/SP",4.0,5.0,2.0,,,2019.0,Água Branca,São Paulo
1489,2024-03-28,2138514.0,False,147.0,"Rua Caiubi 1363, Perdizes - São Paulo/SP",4.0,4.0,2.0,-23.5354657,-46.67985524560476,2024.0,Perdizes,São Paulo
1490,2018-03-27,1470000.0,True,165.0,"Rua dos Franceses 498, Morro dos Ingleses - São Paulo/SP",4.0,4.0,2.0,-23.56255990939498,-46.647665281544754,2018.0,Morro dos Ingleses,São Paulo
1491,2018-03-27,1365000.0,False,186.0,"Rua Professor Pedreira de Freitas , Tatuapé - São Paulo/SP",4.0,4.0,2.0,-23.5510759,-46.5612082,2018.0,Tatuapé,São Paulo
1492,2021-02-08,3200000.0,False,127.0,"Rua Helena 151, Vila Olímpia - São Paulo/SP",4.0,4.0,3.0,-23.5931509,-46.6860701,2021.0,Vila Olímpia,São Paulo
1493,2018-03-28,2200000.0,False,144.0,"Avenida Aratãs 207, Indianópolis - São Paulo/SP",4.0,6.0,3.0,-23.60847253513513,-46.6641115972973,2018.0,Indianópolis,São Paulo
1494,2018-03-27,3300000.0,False,230.0,"Rua Sampaio Viana , Paraíso - São Paulo/SP",4.0,5.0,3.0,-23.5742729,-46.6476894,2018.0,Paraíso,São Paulo
1495,2022-04-12,1399000.0,False,129.0,"Rua Doutor Luiz Migliano , Jardim Caboré - São Paulo/SP",4.0,5.0,3.0,,,2022.0,Jardim Caboré,São Paulo
1496,2018-03-27,3200000.0,False,193.0,"Avenida Senador Casimiro da Rocha 441, Mirandópolis - São Paulo/SP",4.0,4.0,3.0,,,2018.0,Mirandópolis,São Paulo
1497,2021-10-29,5100000.0,False,224.0,"Avenida Portugal sn, Brooklin Paulista - São Paulo/SP",4.0,5.0,3.0,,,2021.0,Brooklin Paulista,São Paulo
1498,2018-03-27,2309000.0,False,186.0,"Rua São Vicente de Paulo 606, Santa Cecília - São Paulo/SP",4.0,4.0,3.0,-23.53979798942748,-46.65683363387989,2018.0,Santa Cecília,São Paulo
1499,2023-09-06,1900000.0,False,176.0,"Rua Mileto 48, Vila Santos - São Paulo/SP",4.0,4.0,3.0,,,2023.0,Vila Santos,São Paulo
1500,2018-08-08,6299990.0,False,360.0,"Rua Professor Tamandaré Toledo 113, Itaim Bibi - São Paulo/SP",4.0,5.0,3.0,-23.583513,-46.6748078,2018.0,Itaim Bibi,São Paulo
1501,2018-03-27,1600000.0,False,206.0,"Rua Francisca Júlia 394, Santana - São Paulo/SP",4.0,5.0,3.0,-23.49279625,-46.629131651143794,2018.0,Santana,São Paulo
1502,2018-03-27,2189990.0,False,230.0,"Rua Barão do Triunfo 1303, Brooklin Paulista - São Paulo/SP",4.0,4.0,4.0,,,2018.0,Brooklin Paulista,São Paulo
1503,2018-03-28,4499970.0,False,335.0,"Avenida Juriti 80, Vila Uberabinha - São Paulo/SP",4.0,6.0,4.0,,,2018.0,Vila Uberabinha,São Paulo
1504,2020-12-16,3750000.0,False,220.0,"Rua Massacá 328, Alto de Pinheiros - São Paulo/SP",4.0,5.0,5.0,-23.5537138,-46.7141439,2020.0,Alto de Pinheiros,São Paulo
1505,2018-12-07,3469000.0,False,323.0,"Rua Zacarias de Gois 1533, Parque Colonial - São Paulo/SP",4.0,6.0,5.0,,,2018.0,Parque Colonial,São Paulo
1506,2018-03-27,1170000.0,False,252.0,"Rua Edson 1469, Campo Belo - São Paulo/SP",4.0,6.0,5.0,-23.6235873,-46.6734423,2018.0,Campo Belo,São Paulo
1507,2020-10-01,13999980.0,False,335.0,"Avenida Juriti 50, Vila Uberabinha - São Paulo/SP",4.0,6.0,4.0,,,2020.0,Vila Uberabinha,São Paulo
